Local Authority,Average of Full-Time Posts Vacant (%),Average of Full-Time Temporarily Filled Posts (%),sum of Full time and full time temp,Sum of Number of Full-Time Vacant Posts,Sum of Number of Full-Time Temporarily Filled Posts
Middlesbrough,1.1,0.7,1.8,5,3
Bracknell Forest,1,0.8,1.8,4,5
Coventry,0.9,0.9,1.8,16,11
Windsor and Maidenhead,0.9,1.8,2.7,3,5
Isle of Wight,0.8,0.5,1.3,4,2
Central Bedfordshire,0.8,1.3,2.1,5,9
Blackpool,0.8,0.9,1.7,3,6
Sunderland,0.7,0,0.7,8,0
North Lincolnshire,0.7,0.4,1.1,4,4
Sandwell,0.7,1.8,2.5,7,25
Dudley,0.6,2.7,3.3,2,19
Croydon,0.6,1.9,2.5,2,26
Redcar and Cleveland,0.6,0.4,1,3,2
Calderdale,0.6,0.5,1.1,3,4
Reading,0.5,2,2.5,4,10
Stoke-on-Trent,0.5,0.9,1.4,4,6
Norfolk,0.5,0.4,0.9,13,7
Luton,0.5,1.8,2.3,3,17
Bury,0.5,0,0.5,3,0
Bexley,0.5,1.2,1.7,4,13
Haringey,0.5,1.2,1.7,4,9
East Sussex,0.4,1.3,1.7,5,20
Tower Hamlets,0.4,1.8,2.2,3,18
Solihull,0.4,0.3,0.7,2,2
Barnet,0.4,1.1,1.5,4,11
Brighton and Hove,0.4,0.8,1.2,3,5
Doncaster,0.4,1.1,1.5,4,11
Southwark,0.4,1.3,1.7,3,13
Sheffield,0.4,1.1,1.5,7,18
Leeds,0.4,0.5,0.9,13,14
Northamptonshire,0.4,0.5,0.9,11,12
Newham,0.4,1.1,1.5,7,21
Harrow,0.4,5.4,5.8,3,54
North Yorkshire,0.4,1,1.4,8,13
Wolverhampton,0.4,1.6,2,3,12
Manchester,0.3,0.5,0.8,6,11
South Gloucestershire,0.3,0.7,1,3,6
Thurrock,0.3,1.5,1.8,1,10
Lewisham,0.3,0.9,1.2,3,7
Surrey,0.3,0.7,1,9,27
Buckinghamshire,0.3,1.3,1.6,6,20
Telford and Wrekin,0.3,0,0.3,1,0
Lincolnshire,0.3,0.3,0.6,7,10
Medway,0.3,0.9,1.2,4,9
Birmingham,0.3,0.8,1.1,13,34
Hackney,0.3,0.9,1.2,3,10
Staffordshire,0.3,0.6,0.9,9,16
Essex,0.3,0.7,1,12,27
Oxfordshire,0.3,0.9,1.2,6,16
Wirral,0.2,0.2,0.4,3,3
Durham,0.2,0.8,1,3,18
Bradford,0.2,1.2,1.4,6,26
Newcastle upon Tyne,0.2,0.3,0.5,2,2
Merton,0.2,1.2,1.4,2,9
Kingston upon Thames,0.2,0.4,0.6,1,2
Derbyshire,0.2,0.3,0.5,4,9
Waltham Forest,0.2,1.9,2.1,2,25
Cheshire East,0.2,0.6,0.8,1,2
Torbay,0.2,0,0.2,1,0
Leicester,0.2,0.5,0.7,2,9
Kingston upon Hull City of,0.2,0.1,0.3,2,2
Cambridgeshire,0.2,1.4,1.6,3,23
Shropshire,0.2,0,0.2,2,0
Portsmouth,0.2,0.6,0.8,1,4
Kent,0.2,0.7,0.9,10,30
Bath and North East Somerset,0.2,0.6,0.8,1,3
Wigan,0.2,0.4,0.6,2,6
Nottingham,0.2,1.5,1.7,2,13
Bournemouth,0.2,0.4,0.6,1,2
Redbridge,0.2,1.5,1.7,2,17
Kirklees,0.2,1.1,1.3,3,16
Worcestershire,0.2,0.1,0.3,4,2
St. Helens,0.2,1.6,1.8,1,10
Ealing,0.2,3.4,3.6,2,45
Westminster,0.2,3.3,3.5,1,19
Lancashire,0.2,1.2,1.4,6,49
Hillingdon,0.2,3,3.2,2,32
Walsall,0.2,1,1.2,2,15
Lambeth,0.2,1.9,2.1,1,16
West Berkshire,0.2,0.8,1,1,4
Suffolk,0.1,1.7,1.8,5,29
Hampshire,0.1,0.9,1,5,34
Southampton,0.1,0.1,0.2,2,1
Wiltshire,0.1,0.9,1,4,8
Slough,0.1,4.2,4.3,1,27
Hertfordshire,0.1,0.9,1,6,36
Cornwall,0.1,0.4,0.5,3,6
