Local Authority,Average of Full-Time Posts Vacant (%),Average of Full-Time Temporarily Filled Posts (%),sum of Full time and full time temp,Sum of Number of Full-Time Vacant Posts,Sum of Number of Full-Time Temporarily Filled Posts,LOOKUP,new_la_code
Central Bedfordshire,0.8,1.3,2.1,5,9,#N/A,E06000055
Cheshire East,0.2,0.6,0.8,1,2,#N/A,E06000049
Bedford,0,0.1,0.1,0,1,#N/A,E06000055
Cheshire West and Chester,0,0.4,0.4,0,4,#N/A,E06000050
York,0,0.8,0.8,0,4,York,E06000014
Worcestershire,0.2,0.1,0.3,4,2,Worcestershire,E10000034
Wolverhampton,0.4,1.6,2,3,12,Wolverhampton,E08000031
Wokingham,0,1.4,1.4,0,4,Wokingham,E06000041
Wirral,0.2,0.2,0.4,3,3,Wirral,E08000015
Wiltshire,0.1,0.9,1,4,8,Wiltshire,E06000054
Wigan,0.2,0.4,0.6,2,6,Wigan,E08000010
Westminster,0.2,3.3,3.5,1,19,Westminster,E09000033
West Sussex,0.1,0.5,0.6,1,14,West Sussex,E10000032
West Berkshire,0.2,0.8,1,1,4,West Berkshire,E06000037
Warwickshire,0.1,1,1.1,3,13,Warwickshire,E10000031
Warrington,0.1,0.9,1,1,5,Warrington,E06000007
Wandsworth,0.1,3,3.1,1,32,Wandsworth,E09000032
Waltham Forest,0.2,1.9,2.1,2,25,Waltham Forest,E09000031
Walsall,0.2,1,1.2,2,15,Walsall,E08000030
Wakefield,0,0.3,0.3,0,4,Wakefield,E08000036
Trafford,0,0.2,0.2,0,2,Trafford,E08000009
Tower Hamlets,0.4,1.8,2.2,3,18,Tower Hamlets,E09000030
Torbay,0.2,0,0.2,1,0,Torbay,E06000027
Thurrock,0.3,1.5,1.8,1,10,Thurrock,E06000034
The Royal Borough of Windsor and Maidenhead,0.9,1.8,2.7,3,5,The Royal Borough of Windsor and Maidenhead,E06000040
Telford and Wrekin,0.3,0,0.3,1,0,Telford and Wrekin,E06000020
Tameside,0,1.2,1.2,0,10,Tameside,E08000008
Swindon,0,0.3,0.3,0,2,Swindon,E06000030
Sutton,0,0.8,0.8,0,6,Sutton,E09000029
Surrey,0.3,0.7,1,9,27,Surrey,E10000030
Sunderland,0.7,0,0.7,8,0,Sunderland,E08000024
Suffolk,0.1,1.7,1.8,5,29,Suffolk,E10000029
Stoke-on-Trent,0.5,0.9,1.4,4,6,Stoke-on-Trent,E06000021
